persian	freq	latin
که	1497746	ke
رو	1348950	ro
به	1314499	be
من	1263732	man
و	1048663	o
از	980699	az
تو	968244	to
این	881163	in
یه	847445	ye
اون	723549	oon
می	591888	mi
نه	543759	na
با	470717	ba
در	449699	dar
ما	399303	ma
چی	374366	chi
خیلی	352472	kheili
ش	347223	sh
باید	340002	bayad
هم	322258	ham
بود	307036	bood
باشه	304463	bashe
برای	302181	bray
آره	299623	are
کنم	291138	konam
کن	278010	kon
تا	273810	ta
اینجا	262470	inja
فکر	250707	fkr
دیگه	248256	dige
ت	241466	t
نیست	240509	nyst
خب	229735	khob
شما	221676	shma
فقط	214800	faghat
کار	210174	kar
ها	208927	ha
داره	202018	dare
اگه	191633	age
همه	188444	hame
چیزی	186852	chyzy
دارم	185885	daram
شده	181090	shdh
ولی	179574	vly
کنی	177352	koni
چه	173117	che
توی	172333	tvy
یک	167188	yk
داری	160491	dari
خوب	153718	khob
اما	153176	ama
پس	152072	pas
میشه	151355	mishe
نمی	151304	nmy
چرا	145676	chera
م	142606	m
میکنم	138754	mikonam
حالا	136895	hala
کردم	135580	krdm
کنه	133947	kone
درست	132185	drst
وقتی	131490	vghty
الان	128955	alan
اونا	125951	avna
ای	124970	ay
کنیم	124780	konim
هر	123799	har
ی	123369	y
خود	122608	khvd
اوه	120912	avh
یا	120098	ya
شد	119664	shod
بله	115728	blh
هی	115197	hy
دوست	113690	doost
های	113331	hay
منو	112155	mnv
بیا	111310	bia
دست	110160	dst
اینکه	110042	aynkh
سلام	109041	salam
کجا	108314	koja
چیه	106540	chyh
هست	105673	hst
برو	105531	boro
بعد	103611	bd
بهم	102922	bhm
مثل	102383	msl
خوبه	102349	khube
همین	99569	hmyn
بده	99323	bede
کی	99273	ki
پیدا	98154	pyda
هیچ	98065	hych
میکنی	97240	mikoni
یکی	96582	yky
کرد	93987	krd
حرف	93900	hrf
ه	93740	h
کردی	92436	krdy
بیرون	89395	byrvn
میکنه	89199	mikone
کسی	89134	ksy
بچه	88774	bchh
واقعا	88667	vagha
کردن	88167	krdn
بریم	87909	berim
میخوام	87649	mikham
کرده	84644	krdh
ست	83356	st
ممنون	82735	mamnoon
میدونی	80764	midooni
اونجا	80167	onja
داریم	79807	darym
کاری	78450	kary
واسه	78233	vash
را	78127	ra
پیش	77875	pysh
خونه	76301	khune
شاید	76004	shayad
بودم	75742	bvdm
سر	75094	sr
چیز	74402	chyz
باش	74125	bash
هستم	73906	hstm
