latin_key	persian	freq
ke	که	1497746
ro	رو	1348950
be	به	1314499
man	من	1263732
o	و	1048663
az	از	980699
to	تو	968244
in	این	881163
ye	یه	847445
on	اون	723549
mi	می	591888
na	نه	543759
ba	با	470717
dar	در	449699
ma	ما	399303
chi	چی	374366
kheili	خیلی	352472
sh	ش	347223
bayad	باید	340002
ham	هم	322258
bod	بود	307036
bashe	باشه	304463
bray	برای	302181
are	آره	299623
konam	کنم	291138
kon	کن	278010
ta	تا	273810
inja	اینجا	262470
fekr	فکر	250707
dige	دیگه	248256
t	ت	241466
nyst	نیست	240509
khob	خب	229735
shma	شما	221676
faghat	فقط	214800
kar	کار	210174
ha	ها	208927
dare	داره	202018
age	اگه	191633
hame	همه	188444
chyzy	چیزی	186852
daram	دارم	185885
shdh	شده	181090
vly	ولی	179574
koni	کنی	177352
che	چه	173117
tvy	توی	172333
yk	یک	167188
dari	داری	160491
ama	اما	153176
pas	پس	152072
mishe	میشه	151355
nmy	نمی	151304
chera	چرا	145676
m	م	142606
mikonam	میکنم	138754
hala	حالا	136895
krdm	کردم	135580
kone	کنه	133947
dorost	درست	132185
vghty	وقتی	131490
alan	الان	128955
avna	اونا	125951
ay	ای	124970
konim	کنیم	124780
har	هر	123799
y	ی	123369
khvd	خود	122608
avh	اوه	120912
ya	یا	120098
shod	شد	119664
blh	بله	115728
hy	هی	115197
dost	دوست	113690
hay	های	113331
mnv	منو	112155
bia	بیا	111310
dst	دست	110160
aynkh	اینکه	110042
salam	سلام	109041
koja	کجا	108314
chyh	چیه	106540
hst	هست	105673
boro	برو	105531
bd	بعد	103611
bhm	بهم	102922
msl	مثل	102383
khube	خوبه	102349
hmyn	همین	99569
bede	بده	99323
ki	کی	99273
pyda	پیدا	98154
hych	هیچ	98065
mikoni	میکنی	97240
yky	یکی	96582
krd	کرد	93987
hrf	حرف	93900
h	ه	93740
krdy	کردی	92436
byrvn	بیرون	89395
mikone	میکنه	89199
ksy	کسی	89134
bchh	بچه	88774
vagha	واقعا	88667
krdn	کردن	88167
berim	بریم	87909
mikham	میخوام	87649
krdh	کرده	84644
st	ست	83356
mamnon	ممنون	82735
midoni	میدونی	80764
onja	اونجا	80167
darim	داریم	79807
kary	کاری	78450
vash	واسه	78233
ra	را	78127
pysh	پیش	77875
khune	خونه	76301
shayad	شاید	76004
bvdm	بودم	75742
sr	سر	75094
chyz	چیز	74402
bash	باش	74125
hstm	هستم	73906
chon	چون	73765
rvy	روی	73162
chykar	چیکار	72990
konid	کنید	72977
miad	میاد	71539
anjam	انجام	71534
dv	دو	71215
ndarh	نداره	71213
pdr	پدر	69092
kmk	کمک	68638
vaght	وقت	68544
mnm	منم	68283
mikhai	میخوای	68037
dashth	داشته	67745
hsty	هستی	67693
mvrd	مورد	66912
zndgy	زندگی	66429
hanoz	هنوز	66273
aynh	اینه	65685
beshe	بشه	65675
lnty	لعنتی	65336
midonam	میدونم	65263
roz	روز	64597
ast	است	64494
tmam	تمام	64297
aynv	اینو	63639
mrd	مرد	63560
nzr	نظر	62912
rah	راه	61807
hmyshh	همیشه	61150
bebin	ببین	60894
byshtr	بیشتر	57638
chy	چی؟	57588
sbr	صبر	56976
tnha	تنها	56428
asm	اسم	56199
mtasfm	متاسفم	56061
bashy	باشی	55895
sal	سال	55722
aghay	آقای	55154
chand	چند	54663
psr	پسر	54512
gvsh	گوش	54512
ngah	نگاه	54304
bego	بگو	54253
khvdm	خودم	53867
nemidonam	نمیدونم	53500
ghrban	قربان	53452
dvbarh	دوباره	52765
khday	خدای	52581
chetor	چطور	51633
bvdh	بوده	51578
bbkhshyd	ببخشید	51472
bdm	بدم	51363
khvby	خوبی	50655
avnv	اونو	50255
by	بی	50083
khda	خدا	49940
hty	حتی	49609
goftam	گفتم	49387
bdy	بدی	48752
bgm	بگم	48461
khvahsh	خواهش	48353
brm	برم	48250
br	بر	48103
zyzm	عزیزم	48060
daran	دارن	47421
hstn	هستن	47421
shrv	شروع	47252
shbt	صحبت	47245
albth	البته	46913
tmvm	تموم	46573
bazy	بازی	46031
ghbl	قبل	45729
goft	گفت	44840
adm	آدم	44773
mitonam	میتونم	44592
nfr	نفر	44571
shv	شو	44514
madr	مادر	44365
mygm	میگم	44074
pvl	پول	43874
knyn	کنین	43853
bar	بار	43609
dnbal	دنبال	43604
khanm	خانم	43462
khvsh	خوش	43223
mitoni	میتونی	43190
ghrar	قرار	43082
hal	حال	43020
shodam	شدم	42989
shab	شب	42759
nakon	نکن	42561
mydm	میدم	42304
mmknh	ممکنه	42197
baba	بابا	41962
dashtm	داشتم	41838
ltfa	لطفا	41744
shdn	شدن	41181
knn	کنن	40970
vjvd	وجود	40860
bashm	باشم	40629
asla	اصلا	40617
mrdm	مردم	40500
baz	باز	40389
yny	یعنی	40206
emroz	امروز	40110
khatr	خاطر	40077
hmvn	همون	40074
dkhtr	دختر	40061
agr	اگر	39848
dasht	داشت	39495
bvdy	بودی	39490
bbynm	ببینم	39395
yala	یالا	39320
dvnm	دونم	39314
bdvn	بدون	39126
mgh	مگه	39124
hychy	هیچی	38991
bozorg	بزرگ	38930
nystm	نیستم	38930
astfadh	استفاده	38916
bala	بالا	38787
bvdn	بودن	38085
kenar	کنار	38071
sat	ساعت	37899
nemitonam	نمیتونم	37854
cheghadr	چقدر	37780
brat	برات	37344
halt	حالت	37344
bezar	بذار	37258
krdym	کردیم	36984
ndarm	ندارم	36896
avl	اول	36849
bry	بری	36842
sy	سعی	36250
zvd	زود	36229
km	کم	36207
avnha	اونها	36161
amadh	آماده	35714
maman	مامان	35705
am	ام	35616
drbarh	درباره	35554
nbvd	نبود	35511
bkhatr	بخاطر	35332
mtmn	مطمئن	35170
bahash	باهاش	34960
atfaghy	اتفاقی	34874
zndh	زنده	34804
azt	ازت	34484
myknym	میکنیم	33956
mashin	ماشین	33936
jayy	جایی	33789
byn	بین	33775
mide	میده	33653
nemishe	نمیشه	33574
bezan	بزن	33507
nyaz	نیاز	33359
shodi	شدی	33156
zn	زن	33074
dvr	دور	32924
arvm	آروم	32713
hychvght	هیچوقت	32638
bhtr	بهتر	32490
alyh	عالیه	32338
dad	داد	32280
chtvry	چطوری	32195
khvam	خوام	32072
yad	یاد	31888
zng	زنگ	31883
dnya	دنیا	31861
mnh	منه	31639
gofti	گفتی	31610
zmyn	زمین	31428
tvnm	تونم	31424
trf	طرف	31393
htma	حتما	31376
ja	جا	31287
zyady	زیادی	30683
myknn	میکنن	30499
jay	جای	30450
mygy	میگی	30450
shhr	شهر	30395
av	او	30297
mshkly	مشکلی	30282
khbr	خبر	30034
payyn	پایین	30033
nbayd	نباید	30019
bram	برام	29966
zman	زمان	29651
dadh	داده	29538
ayna	اینا	29501
dktr	دکتر	29410
mikhad	میخواد	29320
frar	فرار	29192
zyad	زیاد	29026
dghyghh	دقیقه	29021
mrdh	مرده	28899
mnzvr	منظور	28865
mitone	میتونه	28807
ah	آه	28742
mal	مال	28677
bas	باعث	28426
plys	پلیس	28401
mohem	مهم	28162
ajazh	اجازه	28110
mykrdm	میکردم	28084
ngh	نگه	28068
miram	میرم	27996
atfagh	اتفاق	27897
bad	بد	27887
ngran	نگران	27840
psht	پشت	27762
nshvn	نشون	27629
lahze	لحظه	27487
rfygh	رفیق	27227
dl	دل	27201
sobh	صبح	27193
smt	سمت	27188
karv	کارو	27009
aynkarv	اینکارو	26957
njat	نجات	26873
kamla	کاملا	26833
bgy	بگی	26654
bhtrh	بهتره	26553
begir	بگیر	26503
mygh	میگه	26383
dghygha	دقیقا	26348
adamh	ادامه	26342
bavr	باور	26296
bsyar	بسیار	26289
avlyn	اولین	26060
didam	دیدم	26051
jvab	جواب	25894
hstym	هستیم	25853
ab	آب	25849
hrkt	حرکت	25588
mmnvnm	ممنونم	25552
dakhl	داخل	25454
dadm	دادم	25357
byad	بیاد	25294
hmchyn	همچین	25089
lazm	لازم	24964
hmyntvr	همینطور	24950
ghrarh	قراره	24909
khvn	خون	24881
vay	وای	24803
tvny	تونی	24734
rfth	رفته	24656
nysty	نیستی	24554
mshkl	مشکل	24295
